feature_importance_key,feature_name,feature_category,importance_value,importance_percentage,cumulative_importance,rank_overall,rank_in_category,is_top_15,is_lag_feature,model_version_key,created_at
1,energy_lag_1h,LAG Features,0.5688265307718194,56.88265307718196,56.88265307718196,1,1,true,true,1,2025-11-29T08:26:08.193Z
2,energy_lag_24h,LAG Features,0.09422934406750808,9.42293440675081,66.30558748393277,2,2,true,true,1,2025-11-29T08:26:08.194Z
3,energy_lag_168h,LAG Features,0.04513513783451768,4.51351378345177,70.81910126738454,3,3,true,true,1,2025-11-29T08:26:08.194Z
4,completeness_radiation_interaction,Interaction,0.04390706794607802,4.390706794607803,75.20980806199235,4,1,true,false,1,2025-11-29T08:26:08.194Z
5,hour_radiation_interaction,Interaction,0.03925200592398316,3.9252005923983173,79.13500865439066,5,2,true,false,1,2025-11-29T08:26:08.194Z
6,direct_radiation,Weather,0.031915949156721274,3.1915949156721286,82.32660357006279,6,1,true,false,1,2025-11-29T08:26:08.194Z
7,cloud_radiation_ratio,Interaction,0.01897611680982121,1.8976116809821217,84.22421525104491,7,3,true,false,1,2025-11-29T08:26:08.194Z
8,shortwave_radiation,Weather,0.018778478223703564,1.8778478223703572,86.10206307341527,8,2,true,false,1,2025-11-29T08:26:08.194Z
9,hour_sin,Temporal,0.018545063912835776,1.8545063912835784,87.95656946469884,9,1,true,false,1,2025-11-29T08:26:08.194Z
10,hour_of_day,Temporal,0.018106901129888553,1.810690112988856,89.7672595776877,10,2,true,false,1,2025-11-29T08:26:08.194Z
11,cloud_temp_interaction,Unknown,0.01651255636511953,1.6512556365119537,91.41851521419964,11,1,true,false,1,2025-11-29T08:26:08.194Z
12,temperature_2m,Weather,0.011996265646274614,1.1996265646274618,92.61814177882711,12,3,true,false,1,2025-11-29T08:26:08.194Z
13,radiation_temp_interaction,Interaction,0.011561669507869458,1.156166950786946,93.77430872961405,13,4,true,false,1,2025-11-29T08:26:08.194Z
14,temperature_sq,Unknown,0.01109194037109633,1.1091940371096334,94.88350276672368,14,2,true,false,1,2025-11-29T08:26:08.194Z
15,cloud_cover,Weather,0.009712104217598232,0.9712104217598235,95.8547131884835,15,4,true,false,1,2025-11-29T08:26:08.194Z
16,intervals_count,Energy Quality,0.0090042322388307,0.9004232238830703,96.75513641236657,16,1,false,false,1,2025-11-29T08:26:08.194Z
17,month_sin,Temporal,0.007284552942392244,0.7284552942392246,97.4835917066058,17,3,false,false,1,2025-11-29T08:26:08.194Z
18,hour_cos,Temporal,0.00650939715760883,0.6509397157608832,98.13453142236668,18,4,false,false,1,2025-11-29T08:26:08.194Z
19,month_cos,Temporal,0.006388862548946003,0.6388862548946005,98.77341767726128,19,5,false,false,1,2025-11-29T08:26:08.194Z
20,month,Temporal,0.006333728878370316,0.6333728878370317,99.4067905650983,20,6,false,false,1,2025-11-29T08:26:08.194Z
21,day_of_week,Temporal,0.004111669324695165,0.4111669324695167,99.81795749756782,21,7,false,false,1,2025-11-29T08:26:08.194Z
22,is_weekend,Temporal,0.001048659786045696,0.10486597860456964,99.92282347617238,22,8,false,false,1,2025-11-29T08:26:08.194Z
23,is_low_energy_period,Production Indicators,7.477010950035871E-4,0.07477010950035873,99.99759358567275,23,1,false,false,1,2025-11-29T08:26:08.194Z
24,is_production_hour,Production Indicators,2.4064143272310786E-5,0.0024064143272310794,99.99999999999997,24,2,false,false,1,2025-11-29T08:26:08.194Z
25,completeness_pct,Energy Quality,0.0,0.0,99.99999999999997,25,2,false,false,1,2025-11-29T08:26:08.194Z
26,shortwave_radiation_sq,Unknown,0.0,0.0,99.99999999999997,26,3,false,false,1,2025-11-29T08:26:08.194Z
